h,L2_error,H1_error
0.075,0.024439888639817244,0.029389980351933236
0.05,0.011891110337731707,0.015102096414610931
0.025,0.0029718274070563676,0.003812973304269728
0.02,0.0018940127400846418,0.002430406272851609
0.015,0.0010554059691924383,0.001459760899608257
0.01,0.00047417305458629603,0.0006683433989671284
0.0095,0.00042521332476359657,0.000658674048828557
0.009,0.00037878607252106146,0.0005707702303077723
0.0085,0.0003439763366024813,0.0005012066727425167
0.008,0.00030690293950795506,0.00045345484335998574
0.0075,0.0002656289139570292,0.0004219554719583784
0.005,0.0001194180854036824,0.00022190977890474006
